x:Key,CN,EN,JP
AddWorkerViewModel_Message_EmptyPassword,請輸入密碼,Please enter the password.,パスワードを入力してください
AddWorkerViewModel_Message_EmptyWorkerName,請輸入使用者名稱,Please enter the user name.,ユーザー名を入力してください
AddWorkerViewModel_Message_EmptyWorkerNumber,請輸入使用者工號,Please enter the employee number.,社員番号を入力してください
AddWorkerViewModel_Message_PasswordMismatch,兩次輸入的密碼不一致,The passwords do not match.,入力したパスワードが一致しません
AddWorkerViewModel_Message_WorkerNameExists,使用者名稱已存在,The user name already exists.,ユーザー名は既に存在します
AddWorkerViewModel_Message_WorkerNumberExists,使用者工號已存在,The employee number already exists.,社員番号は既に存在します
AddWorkerViewModel_Title_Add,新增使用者,Add user,ユーザー追加
AddWorkerViewModel_Title_Edit,編輯使用者,Edit user,ユーザー編集
AddWorkerWindow_Button_Add,新增,Add,追加
AddWorkerWindow_Label_ConfirmPassword,再次確認：,Confirm password:,パスワード確認：
AddWorkerWindow_Label_Password,輸入密碼：,Password:,パスワード：
AddWorkerWindow_Label_UserName,使用者：,User:,ユーザー：
AddWorkerWindow_Label_WorkerNumber,工號：,Employee No.:,社員番号：
AddWorkerWindow_Title,新增工作人員,Add worker,作業者追加
Alarm_Button_Delete,刪除,Delete,削除
Alarm_Button_Export,匯出,Export,エクスポート
Alarm_Column_Code,錯誤代碼,Error code,エラーコード
Alarm_Column_Message,訊息內容,Message,メッセージ内容
Alarm_Column_Time,時間,Time,時間
Alarm_Confirm_Remove,確定要清除警告,Are you sure you want to clear alarms?,警報を削除しますか？
Alarm_DateFilter_Custom,自訂,Custom,カスタム
Alarm_DateFilter_Last7Days,前7天,Last 7 days,過去7日間
Alarm_DateFilter_Today,今天,Today,本日
Alarm_Dialog_ExportTitle,匯出檔案,Export file,ファイルをエクスポート
Alarm_Message_DateRangeTooLong,選擇的日期範圍不能超過一個月,Selected date range cannot exceed one month.,選択した日付範囲は1か月を超えることはできません
Alarm_Message_ExportFailed,匯出失敗：{0},Export failed: {0},エクスポートに失敗しました：{0}
Alarm_Message_ExportSuccess,匯出完成。,Export completed.,エクスポートが完了しました
Alarm_Message_NoExportData,目前沒有可匯出的資料。,There is no data to export.,エクスポートするデータがありません
Alarm_Message_RemoveFailed,刪除歷史警報失敗,Failed to delete alarm history.,警報履歴の削除に失敗しました
Alarm_Pagination_Of,of,of,／
Alarm_Pagination_Page,Page,Page,ページ
Alarm_Summary_None,目前無提示,No active alerts,現在有効な警報はありません
Alarm_Tab_Current,目前警報,Current alarms,現在の警報
Alarm_Tab_History,歷史警報,Alarm history,警報履歴
Alarm_Title,警報資訊,Alarm information,警報情報
Alarm_Tooltip_FirstPage,移動到最前頁,First page,最初のページへ移動
Alarm_Tooltip_LastPage,移動到最後頁,Last page,最後のページへ移動
Alarm_Tooltip_NextPage,下一頁,Next page,次のページへ移動
Alarm_Tooltip_PrevPage,前一頁,Previous page,前のページへ移動
Authorization_Message_RequireLogin,請先登入,Please log in first.,先にログインしてください
Authorization_Message_WriteFailed,寫入失敗,Write failed.,書き込みに失敗しました
DialogMessageWindow_Button_Confirm,確定,OK,OK
